,調價日期,無鉛汽油92
1,2024/3/4,29.5
2,2024/2/26,29.4
3,2024/2/19,29.4
4,2024/2/12,29.0
6,2024/2/5,29.0
7,2024/1/29,29.0
8,2024/1/22,28.9
9,2024/1/15,29.0
10,2024/1/8,29.2
13,2024/1/1,29.5
15,2023/12/25,29.6
17,2023/12/18,29.2
19,2023/12/11,29.5
22,2023/12/4,29.5
23,2023/11/27,29.5
25,2023/11/20,29.5
27,2023/11/13,29.6
29,2023/11/6,29.7
31,2023/10/30,29.7
33,2023/10/23,29.9
35,2023/10/16,30.2
37,2023/10/9,30.7
39,2023/10/2,30.8
40,2023/9/25,31.1
42,2023/9/18,31.4
44,2023/9/11,31.6
46,2023/9/4,31.2
48,2023/8/28,31.1
49,2023/8/21,31.2
51,2023/8/14,31.1
53,2023/8/7,30.5
56,2023/7/31,30.3
57,2023/7/24,29.8
59,2023/7/17,29.5
60,2023/7/10,29.1
62,2023/7/3,28.8
64,2023/6/26,28.9
65,2023/6/19,28.5
66,2023/6/12,28.8
68,2023/6/5,28.5
69,2023/5/29,28.9
70,2023/5/22,28.6
71,2023/5/15,28.8
73,2023/5/8,28.6
76,2023/5/1,29.6
78,2023/4/24,29.6
79,2023/4/17,29.8
81,2023/4/10,29.5
83,2023/4/3,28.9
85,2023/3/27,28.4
87,2023/3/20,28.9
88,2023/3/13,29.2
89,2023/3/6,28.9
91,2023/2/27,29.0
92,2023/2/20,29.1
94,2023/2/13,29.2
95,2023/2/6,29.5
96,2023/1/30,29.6
97,2023/1/23,29.1
98,2023/1/16,29.1
99,2023/1/9,29.1
101,2023/1/2,29.5
102,2022/12/26,29.1
103,2022/12/19,29.0
105,2022/12/12,28.9
107,2022/12/5,29.3
109,2022/11/28,29.1
111,2022/11/21,29.2
113,2022/11/14,29.0
114,2022/11/7,29.1
116,2022/10/31,29.1
117,2022/10/24,28.8
119,2022/10/17,28.9
121,2022/10/10,29.2
124,2022/10/3,29.3
126,2022/9/26,29.2
128,2022/9/19,29.2
130,2022/9/12,29.0
132,2022/9/5,29.1
134,2022/8/29,29.2
135,2022/8/22,29.5
136,2022/8/15,29.6
138,2022/8/8,29.8
140,2022/8/1,29.5
142,2022/7/25,29.3
144,2022/7/18,29.5
146,2022/7/11,29.8
149,2022/7/4,30.0
150,2022/6/27,30.0
152,2022/6/20,29.6
154,2022/6/13,29.5
156,2022/6/6,29.5
158,2022/5/30,30.1
160,2022/5/23,30.2
162,2022/5/16,30.2
164,2022/5/9,30.3
166,2022/5/2,30.4
168,2022/4/25,30.5
169,2022/4/18,30.8
171,2022/4/11,31.0
174,2022/4/4,31.0
176,2022/3/28,31.2
178,2022/3/21,31.5
180,2022/3/14,31.6
182,2022/3/7,31.3
185,2022/2/28,30.7
187,2022/2/21,30.2
189,2022/2/14,29.9
191,2022/2/7,28.7
192,2022/1/31,29.8
194,2022/1/24,29.8
196,2022/1/17,29.2
198,2022/1/10,28.6
201,2022/1/3,28.4
203,2021/12/27,27.5
205,2021/12/20,27.7
207,2021/12/13,27.6
209,2021/12/6,27.3
210,2021/12/1,28.5
212,2021/11/29,29.6
214,2021/11/22,29.8
215,2021/11/15,30.1
217,2021/11/8,30.0
220,2021/11/1,30.2
222,2021/10/25,30.1
224,2021/10/18,29.5
226,2021/10/11,28.7
229,2021/10/4,28.3
232,2021/9/20,28.2
233,2021/9/13,28.1
235,2021/9/6,28.2
237,2021/8/30,28.0
239,2021/8/23,27.6
241,2021/8/16,28.0
243,2021/8/9,28.3
246,2021/8/2,28.7
248,2021/7/26,28.4
249,2021/7/19,28.6
250,2021/7/12,28.5
252,2021/7/5,28.2
254,2021/6/28,27.9
256,2021/6/21,27.6
258,2021/6/14,27.5
260,2021/6/7,27.2
262,2021/5/31,27.0
263,2021/5/24,26.8
264,2021/5/17,26.7
266,2021/5/10,26.6
269,2021/4/26,26.8
271,2021/4/19,26.9
272,2021/4/12,26.5
276,2021/3/29,26.8
277,2021/3/22,26.5
279,2021/3/15,26.0
281,2021/3/8,25.7
284,2021/3/1,25.6
286,2021/2/22,25.5
288,2021/2/1,25.0
289,2021/1/25,25.1
290,2021/1/18,25.0
291,2021/1/11,24.7
294,2021/1/4,24.2
296,2020/12/28,24.0
298,2020/12/21,23.3
300,2020/12/14,22.8
302,2020/12/7,22.4
305,2020/11/30,22.1
308,2020/11/16,21.9
310,2020/11/9,21.6
313,2020/11/2,21.5
319,2020/10/5,22.0
323,2020/9/21,22.2
325,2020/9/14,22.0
329,2020/8/17,22.5
334,2020/8/3,22.4
336,2020/7/27,22.3
337,2020/7/20,22.2
339,2020/7/13,22.3
341,2020/7/6,22.2
343,2020/6/29,22.0
345,2020/6/22,21.7
347,2020/6/15,21.4
349,2020/6/8,20.6
352,2020/6/1,19.9
354,2020/5/25,19.6
356,2020/5/18,19.1
359,2020/5/11,18.2
361,2020/5/4,16.2
363,2020/4/27,16.1
365,2020/4/20,17.0
367,2020/4/13,17.9
369,2020/4/6,17.3
372,2020/3/30,18.2
374,2020/3/23,19.0
376,2020/3/16,20.3
378,2020/3/9,24.1
381,2020/3/2,24.7
383,2020/2/24,25.5
386,2020/2/10,24.9
389,2020/2/3,25.9
390,2020/1/27,26.8
392,2020/1/20,27.1
394,2020/1/13,27.8
0,2019/12/30,27.7
2,2019/12/23,27.6
4,2019/12/16,27.3
6,2019/12/9,26.9
9,2019/12/2,27.1
10,2019/11/25,26.9
12,2019/11/18,26.8
13,2019/11/11,26.6
15,2019/10/28,26.4
17,2019/10/21,26.3
19,2019/10/14,26.2
21,2019/10/7,26.3
24,2019/9/30,27.1
26,2019/9/23,27.3
28,2019/9/16,26.8
29,2019/9/9,26.3
31,2019/9/2,26.5
32,2019/8/26,26.6
36,2019/8/12,26.3
38,2019/7/29,27.2
40,2019/7/22,27.3
42,2019/7/15,27.6
44,2019/7/8,27.2
47,2019/7/1,27.6
49,2019/6/24,27.2
50,2019/6/17,27.0
52,2019/6/10,26.9
55,2019/6/3,28.3
57,2019/5/27,28.8
59,2019/5/20,28.9
61,2019/5/13,28.6
63,2019/5/6,28.8
65,2019/4/29,28.6
66,2019/4/22,28.5
68,2019/4/15,27.9
69,2019/4/8,27.7
71,2019/4/1,27.5
72,2019/3/25,27.3
73,2019/3/18,26.8
75,2019/3/4,26.5
79,2019/2/18,26.3
82,2019/1/21,26.4
84,2019/1/14,26.1
86,2019/1/7,25.0
89,2018/12/31,24.5
91,2018/12/24,25.4
92,2018/12/17,26.3
94,2018/12/10,26.4
97,2018/12/3,26.2
99,2018/11/26,26.9
101,2018/11/19,27.8
103,2018/11/12,28.5
106,2018/11/5,29.2
108,2018/10/29,29.5
110,2018/10/22,29.9
114,2018/10/1,30.0
115,2018/9/17,29.5
117,2018/9/10,29.3
120,2018/9/3,29.2
123,2018/8/27,28.8
125,2018/8/20,28.5
126,2018/8/13,28.6
129,2018/7/30,28.8
131,2018/7/23,28.5
132,2018/7/16,28.9
134,2018/7/9,29.1
137,2018/7/2,28.9
139,2018/6/25,28.5
140,2018/6/18,28.7
142,2018/6/11,28.6
144,2018/6/4,28.8
146,2018/5/28,29.2
148,2018/5/21,29.0
150,2018/5/14,28.7
152,2018/5/7,28.1
155,2018/4/30,28.2
157,2018/4/23,27.8
159,2018/4/16,27.3
160,2018/4/9,26.7
163,2018/4/2,26.8
165,2018/3/26,26.6
167,2018/3/19,26.0
169,2018/3/12,26.1
172,2018/3/5,26.3
174,2018/2/26,26.2
176,2018/2/19,25.8
178,2018/2/12,26.4
180,2018/2/5,27.0
182,2018/1/22,27.2
184,2018/1/15,27.1
186,2018/1/8,26.9
189,2018/1/1,26.7
191,2017/12/25,26.4
193,2017/12/18,26.3
195,2017/12/11,26.1
199,2017/11/27,26.2
201,2017/11/20,26.1
203,2017/11/13,26.4
205,2017/11/6,25.8
207,2017/10/30,25.3
209,2017/10/23,25.1
212,2017/10/9,24.9
215,2017/10/2,25.2
217,2017/9/25,24.8
218,2017/9/18,24.5
220,2017/9/11,24.3
222,2017/9/4,23.9
224,2017/8/28,23.8
226,2017/8/21,23.6
228,2017/8/7,23.9
231,2017/7/31,23.4
233,2017/7/24,23.2
235,2017/7/17,22.9
237,2017/7/10,23.2
240,2017/7/3,22.8
242,2017/6/26,22.5
244,2017/6/19,22.8
246,2017/6/12,23.0
249,2017/6/5,23.5
251,2017/5/29,24.1
253,2017/5/22,23.9
255,2017/5/8,23.4
258,2017/5/1,23.7
260,2017/4/24,24.2
262,2017/4/17,24.7
264,2017/4/10,24.3
266,2017/4/3,23.7
268,2017/3/27,23.6
270,2017/3/20,23.8
272,2017/3/13,24.6
275,2017/2/27,24.9
276,2017/2/20,24.8
277,2017/2/13,24.9
279,2017/2/6,25.0
280,2017/1/23,24.9
282,2017/1/16,25.0
286,2017/1/2,25.3
288,2016/12/19,24.9
290,2016/12/12,24.6
292,2016/12/5,23.6
294,2016/11/28,23.3
295,2016/11/21,22.6
297,2016/11/14,22.5
299,2016/11/7,22.8
302,2016/10/31,23.8
305,2016/10/17,24.0
307,2016/10/10,23.8
310,2016/10/3,22.7
311,2016/9/26,22.6
313,2016/9/19,22.7
316,2016/9/5,22.9
317,2016/8/29,23.4
319,2016/8/22,23.3
321,2016/8/15,22.2
323,2016/8/8,21.8
326,2016/8/1,22.1
330,2016/7/18,22.7
331,2016/7/11,23.1
333,2016/7/4,23.4
334,2016/6/27,23.6
336,2016/6/20,23.4
337,2016/6/13,23.9
342,2016/5/23,23.6
343,2016/5/16,22.9
347,2016/5/2,22.6
348,2016/4/25,22.1
350,2016/4/18,22.0
351,2016/4/11,20.9
353,2016/4/4,21.1
355,2016/3/28,21.4
357,2016/3/21,21.2
359,2016/3/14,21.3
361,2016/3/7,20.4
366,2016/2/22,19.9
368,2016/2/15,19.0
369,2016/2/8,19.9
372,2016/2/1,19.3
374,2016/1/25,18.3
376,2016/1/18,18.4
378,2016/1/11,19.5
381,2015/12/28,19.9
383,2015/12/21,20.1
385,2015/12/14,20.8
387,2015/12/7,21.6
389,2015/11/30,21.7
391,2015/11/23,21.5
393,2015/11/16,22.2
395,2015/11/9,22.8
398,2015/10/26,22.6
400,2015/10/19,23.2
401,2015/10/12,23.6
403,2015/9/28,22.8
404,2015/9/21,22.7
405,2015/9/14,23.1
407,2015/9/7,23.4
410,2015/8/31,22.4
411,2015/8/24,23.1
412,2015/8/17,23.4
414,2015/8/10,23.3
417,2015/8/3,24.1
419,2015/7/27,24.5
422,2015/7/13,24.7
423,2015/7/6,25.5
425,2015/6/29,25.6
426,2015/6/22,25.7
428,2015/6/15,25.9
430,2015/6/8,25.7
433,2015/6/1,25.6
434,2015/5/25,25.9
435,2015/5/18,26.1
437,2015/5/11,26.3
439,2015/5/4,25.7
441,2015/4/27,25.5
443,2015/4/20,25.2
444,2015/4/13,24.4
445,2015/4/6,24.1
447,2015/3/30,24.2
449,2015/3/23,23.7
451,2015/3/16,24.5
452,2015/3/9,25.2
454,2015/3/2,25.0
455,2015/2/23,25.3
457,2015/2/16,24.5
459,2015/2/9,24.0
462,2015/2/2,22.1
464,2015/1/26,22.2
466,2015/1/19,22.1
468,2015/1/12,23.1
471,2015/1/5,24.3
472,2014/12/29,25.0
474,2014/12/22,24.9
476,2014/12/15,25.9
478,2014/12/8,26.9
481,2014/12/1,28.1
482,2014/11/24,28.3
484,2014/11/17,28.7
485,2014/11/10,29.2
488,2014/10/27,29.8
490,2014/10/20,30.0
492,2014/10/13,30.9
494,2014/10/6,31.5
496,2014/9/29,31.7
498,2014/9/22,31.9
500,2014/9/15,32.0
501,2014/9/8,32.5
503,2014/9/1,32.7
505,2014/8/25,32.5
507,2014/8/18,32.8
508,2014/8/11,33.1
509,2014/8/4,33.4
511,2014/7/28,33.5
512,2014/7/21,33.4
514,2014/7/14,33.6
516,2014/7/7,34.0
518,2014/6/30,34.4
520,2014/6/23,34.5
522,2014/6/16,33.9
523,2014/6/9,33.7
525,2014/6/2,33.9
526,2014/5/26,34.0
527,2014/5/19,33.8
528,2014/5/12,33.5
530,2014/5/5,33.7
532,2014/4/28,33.9
534,2014/4/21,33.8
535,2014/4/7,33.4
537,2014/3/31,33.7
541,2014/3/17,33.6
544,2014/3/3,33.9
547,2014/2/24,34.0
548,2014/2/17,33.8
549,2014/2/10,33.4
551,2014/1/27,33.7
552,2014/1/20,33.4
554,2014/1/13,33.5
556,2014/1/6,33.9
559,2013/12/30,34.3
561,2013/12/23,33.8
563,2013/12/16,33.6
567,2013/12/2,33.9
568,2013/11/25,33.5
569,2013/11/18,33.2
571,2013/11/11,32.9
574,2013/10/28,33.4
577,2013/10/14,33.6
578,2013/10/7,33.3
580,2013/9/30,33.5
582,2013/9/23,33.9
584,2013/9/16,34.2
585,2013/9/9,34.5
587,2013/9/2,34.7
588,2013/8/26,34.0
590,2013/8/19,33.8
591,2013/8/12,33.5
592,2013/8/5,33.6
594,2013/7/22,33.5
596,2013/7/15,33.4
598,2013/7/8,32.9
601,2013/7/1,32.5
602,2013/6/24,33.0
604,2013/6/17,32.8
606,2013/6/3,32.5
610,2013/5/13,32.6
612,2013/4/29,32.3
614,2013/4/22,32.0
616,2013/4/15,33.0
617,2013/4/8,33.6
619,2013/4/1,33.5
620,2013/3/25,33.3
621,2013/3/18,33.4
623,2013/3/11,33.5
625,2013/3/4,33.9
628,2013/2/25,34.5
630,2013/2/18,34.9
631,2013/2/11,34.6
633,2013/2/4,34.2
635,2013/1/28,33.6
636,2013/1/21,33.3
637,2013/1/7,33.5
639,2012/12/31,33.3
641,2012/12/24,33.2
643,2012/12/17,32.9
644,2012/12/10,33.2
645,2012/12/3,33.5
647,2012/11/26,33.6
648,2012/11/19,33.2
650,2012/11/12,33.0
651,2012/11/5,33.3
654,2012/10/29,33.4
655,2012/10/22,34.0
656,2012/10/15,34.1
658,2012/10/1,33.7
660,2012/9/24,34.0
661,2012/9/17,34.8
662,2012/9/10,34.7
663,2012/9/3,34.5
665,2012/8/27,34.8
667,2012/8/20,34.5
669,2012/8/13,33.9
671,2012/8/6,33.1
673,2012/7/30,32.8
675,2012/7/23,32.9
676,2012/7/16,32.0
678,2012/7/9,31.8
679,2012/7/2,30.8
681,2012/6/25,31.0
682,2012/6/18,31.4
684,2012/6/11,31.5
686,2012/6/4,32.0
688,2012/5/28,32.2
689,2012/5/21,32.5
691,2012/5/14,32.6
692,2012/5/7,33.1
694,2012/4/30,33.2
695,2012/4/23,33.3
697,2012/4/16,33.6
698,2012/4/9,33.9
699,2012/4/2,34.0
700,2012/3/26,31.7
701,2012/3/19,31.8
702,2012/3/12,31.7
703,2012/3/5,31.6
706,2012/2/27,31.5
708,2012/2/20,31.2
709,2012/2/13,31.0
714,2011/12/19,30.6
715,2011/12/12,30.9
716,2011/12/5,31.0
718,2011/11/28,30.9
719,2011/11/21,31.2
721,2011/11/14,31.3
722,2011/11/7,30.9
725,2011/10/24,31.1
726,2011/10/17,31.0
727,2011/10/10,30.6
728,2011/10/3,30.9
731,2011/9/5,31.2
733,2011/8/29,30.9
734,2011/8/22,30.8
735,2011/8/15,30.6
737,2011/8/8,31.2
741,2011/7/18,31.5
743,2011/7/11,31.2
744,2011/7/4,30.9
747,2011/6/27,31.1
748,2011/6/13,31.6
749,2011/6/6,31.5
752,2011/5/23,31.4
754,2011/5/16,31.5
756,2011/5/9,31.9
757,2011/5/2,32.5
758,2011/4/25,32.4
759,2011/4/18,32.5
761,2011/4/11,32.4
763,2011/4/4,32.0
765,2011/3/28,32.1
766,2011/3/21,31.9
768,2011/3/7,32.1
770,2011/2/28,31.8
772,2011/2/21,31.1
774,2011/1/31,30.8
775,2011/1/17,31.0
776,2011/1/10,30.9
778,2010/12/27,30.8
779,2010/12/20,30.6
781,2010/12/13,30.5
783,2010/12/6,30.1
785,2010/11/29,29.8
787,2010/11/22,29.9
789,2010/11/15,30.3
791,2010/11/8,29.8
793,2010/11/1,29.4
795,2010/10/25,29.3
796,2010/10/18,29.6
797,2010/10/11,29.7
801,2010/9/27,29.0
803,2010/9/13,28.8
804,2010/9/6,28.6
806,2010/8/30,28.2
807,2010/8/23,28.5
809,2010/8/16,29.0
811,2010/8/9,29.6
812,2010/8/2,28.8
813,2010/7/19,28.7
815,2010/7/12,28.2
817,2010/7/5,28.6
821,2010/6/21,29.0
822,2010/6/14,28.5
823,2010/6/7,28.6
825,2010/5/31,27.9
827,2010/5/24,28.4
829,2010/5/17,29.5
830,2010/5/10,29.8
831,2010/5/3,30.0
834,2010/4/19,29.8
835,2010/4/12,29.7
836,2010/4/5,29.0
838,2010/3/15,28.7
840,2010/3/8,28.5
842,2010/3/1,28.1
843,2010/2/13,27.9
844,2010/2/10,28.6
845,2010/2/9,29.0
846,2010/2/8,29.1
848,2010/2/1,28.8
849,2010/1/25,29.5
850,2010/1/11,30.1
851,2010/1/2,30.0
852,2009/12/26,29.2
853,2009/12/19,29.1
855,2009/12/12,29.8
856,2009/12/5,30.3
858,2009/11/28,30.0
859,2009/11/21,30.1
860,2009/11/14,30.2
861,2009/11/7,30.1
863,2009/10/31,29.5
865,2009/10/24,29.7
867,2009/10/17,28.8
869,2009/10/10,28.1
871,2009/10/3,27.6
874,2009/9/12,28.3
876,2009/9/5,28.6
878,2009/8/29,29.0
879,2009/8/22,28.7
883,2009/8/1,28.3
885,2009/7/25,27.6
886,2009/7/18,27.0
888,2009/7/11,27.4
889,2009/7/4,28.6
892,2009/6/27,28.3
893,2009/6/20,28.0
895,2009/6/13,27.3
897,2009/6/6,27.0
900,2009/5/30,26.5
902,2009/5/23,26.1
904,2009/5/16,26.0
906,2009/5/9,25.4
907,2009/5/2,24.5
908,2009/4/25,24.6
909,2009/4/18,24.9
910,2009/4/11,24.8
912,2009/4/4,24.2
914,2009/3/28,24.4
916,2009/3/21,23.3
918,2009/3/14,23.0
919,2009/3/7,23.1
922,2009/2/21,22.6
924,2009/2/14,22.8
926,2009/2/7,22.4
927,2009/1/24,22.1
930,2009/1/10,22.2
932,2009/1/3,20.3
934,2008/12/27,20.4
935,2008/12/20,20.8
936,2008/12/13,20.1
938,2008/12/6,20.5
941,2008/11/29,20.6
942,2008/11/22,20.7
944,2008/11/15,21.7
948,2008/11/1,23.0
950,2008/10/25,23.8
952,2008/10/18,25.2
954,2008/10/11,27.2
956,2008/10/4,29.5
958,2008/9/27,30.1
960,2008/9/20,29.0
962,2008/9/13,30.6
964,2008/9/6,31.9
966,2008/8/30,32.8
967,2008/8/23,32.3
969,2008/8/16,32.5
971,2008/8/9,33.4
977,2008/7/2,35.4
981,2008/5/28,33.9
1000,2007/11/2,30.0
1003,2007/10/2,29.1
1006,2007/9/2,27.8
1007,2007/8/15,28.4
1009,2007/7/25,29.1
1010,2007/7/18,29.0
1012,2007/7/11,28.6
1013,2007/7/4,28.3
1016,2007/6/20,27.9
1018,2007/6/6,27.3
1019,2007/5/30,27.1
1021,2007/5/23,27.4
1023,2007/5/16,26.6
1024,2007/5/9,26.3
1027,2007/4/25,27.3
1028,2007/4/18,26.8
1029,2007/4/11,26.3
1030,2007/4/4,27.3
1032,2007/3/28,26.9
1033,2007/3/21,25.6
1034,2007/3/14,26.1
1036,2007/3/7,26.3
1040,2007/2/28,26.6
1041,2007/2/14,25.8
1042,2007/2/7,26.0
1045,2007/1/31,25.0
1046,2007/1/24,24.4
1047,2007/1/17,24.8
1049,2007/1/10,25.4
1051,2007/1/3,26.5
1053,2006/12/27,26.9
1054,2006/12/20,27.0
1055,2006/12/13,26.7
1057,2006/12/6,27.0
1059,2006/11/29,26.5
1060,2006/11/22,25.4
1061,2006/11/15,26.0
1062,2006/11/8,26.3
1063,2006/11/1,25.9
1064,2006/10/25,25.6
1065,2006/10/11,26.3
1068,2006/9/26,26.5
1070,2006/9/14,27.4
1073,2006/7/7 下午 10:00:00,27.9
1076,2006/4/19,26.9
1080,2006/2/14 下午 12:00:00,24.9
1083,2005/10/24 下午 12:00:00,23.9
1087,2005/8/2 下午 06:00:00,24.7
1095,2005/3/10 下午 05:00:00,23.2
1103,2004/12/30 下午 10:00:00,22.2
1109,2004/9/22,22.5
1116,2004/7/16,21.9
1122,2004/3/25,21.5
1125,2004/1/16,20.9
1128,2004/1/7,20.1
1131,2003/12/17,19.6
1135,2003/11/1,19.1
1138,2003/9/20,19.6
1141,2003/8/9,20.1
1149,2003/4/14 下午 10:00:00,19.1
1151,2003/4/4,19.9
1155,2003/2/22,20.9
1161,2003/1/9,20.1
1162,2002/12/28,19.6
1163,2002/10/26,19.3
1165,2002/9/27,18.5
1168,2002/8/20,18.1
1170,2002/6/1,17.1
1171,2002/4/10,18.1
1173,2001/12/8,17.1
1174,2001/11/17,18.1
1178,2001/6/29,18.4
1180,2001/4/5,18.9
1185,2000/11/3,19.2
1186,2000/10/27,19.5
1188,2000/9/27,19.2
1190,2000/9/20,19.6
1192,2000/8/2,18.3
1193,2000/6/21,18.6
1195,2000/3/29,18.1
1197,2000/2/16,17.6
1199,1999/12/8,17.2
1200,1999/11/10,16.8
1201,1999/9/1,16.4
1202,1999/8/11,16.4
1203,1999/7/14,16.0
1204,1999/5/12,15.6
1205,1999/4/7,15.3
1206,1999/1/6,15.0
